email_id,rule_type,year_month_bucket,report_date,commodity,red_alerts
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-30,BATTERY,"[{open_alerts: 1, total_alerts: 1, new_alerts: 1, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-30,MECHANICAL,"[{open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-30,NETWORK CARD,"[{open_alerts: 9, total_alerts: 3, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-29,CFI,"[{open_alerts: 9, total_alerts: 2, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-29,MECHANICAL,"[{open_alerts: 2, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-29,NETWORK CARD,"[{open_alerts: 9, total_alerts: 4, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-29,PROCESSOR,"[{open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-27,CFI,"[{open_alerts: 2, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-27,MECHANICAL,"[{open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-27,NETWORK CARD,"[{open_alerts: 4, total_alerts: 2, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-26,BATTERY,"[{open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-26,NETWORK CARD,"[{open_alerts: 9, total_alerts: 7, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-25,NETWORK CARD,"[{open_alerts: 1, total_alerts: 1, new_alerts: 1, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-24,MECHANICAL,"[{open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-24,NETWORK CARD,"[{open_alerts: 1, total_alerts: 1, new_alerts: 1, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-23,MECHANICAL,"[{open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-23,NETWORK CARD,"[{open_alerts: 2, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-22,MECHANICAL,"[{open_alerts: 2, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-21,MECHANICAL,"[{open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-20,MECHANICAL,"[{open_alerts: 1, total_alerts: 1, new_alerts: 1, repeated_alerts: 5, closed_alerts: 8}, {open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-19,BATTERY,"[{open_alerts: 2, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}, {open_alerts: 1, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-19,MECHANICAL,"[{open_alerts: 8, total_alerts: 8, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}, {open_alerts: 2, total_alerts: 2, new_alerts: 2, repeated_alerts: 5, closed_alerts: 8}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-19,PROCESSOR,"[{open_alerts: 9, total_alerts: 2, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-17,MECHANICAL,"[{open_alerts: 9, total_alerts: 8, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}]"
Lahari_Boorla@Dellteam.com,High PPS,201909,2019-09-17,NETWORK CARD,"[{open_alerts: 9, total_alerts: 4, new_alerts: 9, repeated_alerts: 8, closed_alerts: 6}]"
